股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SH603615,茶花股份,8.19,8.17,8.99,12418手,7.92,8.17,7.35,997.46万,1.05,0.51%,70.35,35.16,38.60%,3.30%,28.40,1.41,0.23,0.60,2.45亿,19.55亿,5.67,7.51%,2.42亿,19.32亿,11.68,7.36,CNY
SH600735,新华锦,5.24,5.11,5.62,32707手,5.07,5.11,4.60,1682.89万,0.71,0.87%,44.98,27.94,-62.12%,3.33%,24.69,1.99,0.18,0.06,3.76亿,19.36亿,2.59,1.22%,3.76亿,19.36亿,7.48,4.88,CNY
SH603912,佳力图,18.48,18.15,20.16,35625手,17.53,18.33,16.50,6381.42万,0.84,3.27%,324.11,64.40,13.89%,5.18%,45.56,4.80,0.28,0.25,2.17亿,38.53亿,3.70,1.41%,1.09亿,19.37亿,30.90,11.53,CNY
SZ002496,*ST辉丰,2.00,1.85,2.00,22.19万手,1.85,1.90,1.81,4396.71万,1.84,2.29%,亏损,亏损,81.17%,7.89%,亏损,1.12,-0.39,0.00,15.08亿,30.15亿,1.79,0.00%,9.69亿,19.38亿,3.36,1.85,CNY
SZ000530,冰山冷热,3.30,3.30,3.63,30939手,3.23,3.30,2.97,1010.28万,1.11,0.52%,亏损,亏损,9.01%,2.12%,30.66,0.82,-0.09,0.03,8.43亿,27.32亿,3.94,0.93%,5.99亿,19.41亿,4.84,3.07,CNY
SH600568,中珠医疗,1.37,1.34,1.50,67.01万手,1.23,1.36,1.22,8554.37万,2.23,4.28%,亏损,亏损,59.67%,10.29%,亏损,0.67,-0.19,0.00,19.93亿,24.71亿,1.84,0.00%,15.65亿,19.41亿,2.39,1.22,CNY
SH600843,上工申贝,6.56,6.52,7.17,23347手,6.35,6.52,5.87,1499.85万,1.07,0.77%,346.71,64.62,-1.18%,3.22%,40.78,1.52,0.10,0.00,5.49亿,34.95亿,4.18,0.00%,3.05亿,19.41亿,9.50,6.08,CNY
SZ300625,三雄极光,14.09,14.00,15.41,6416手,13.83,14.01,12.61,896.22万,0.72,0.46%,180.10,16.07,38.00%,1.86%,16.02,1.75,0.87,0.30,2.80亿,39.28亿,8.04,2.14%,1.38亿,19.42亿,19.10,12.72,CNY
SZ002940,昂利康,46.46,46.00,50.01,11861手,45.05,45.46,40.91,5404.33万,0.94,2.79%,24.63,34.18,-63.38%,3.10%,36.67,4.09,1.34,1.00,9000.00万,41.18亿,11.19,2.19%,4245.00万,19.42亿,52.61,26.12,CNY
SZ300295,三六五网,11.74,11.74,12.87,15048手,11.56,11.70,10.53,1750.02万,0.92,0.90%,亏损,31.29,23.22%,1.54%,22.04,1.82,0.37,0.00,1.93亿,22.36亿,6.39,0.00%,1.67亿,19.42亿,16.39,10.77,CNY
SZ300490,华自科技,8.43,8.43,9.27,20488手,8.08,8.43,7.59,1686.45万,0.95,0.87%,亏损,31.09,-26.84%,4.15%,24.65,1.24,0.27,0.03,2.62亿,21.68亿,6.69,0.36%,2.35亿,19.43亿,13.63,7.65,CNY
SZ002374,丽鹏股份,2.41,2.40,2.63,52782手,2.37,2.39,2.15,1257.93万,1.50,0.65%,亏损,亏损,63.53%,1.67%,62.55,0.88,0.00,0.00,8.77亿,21.15亿,2.75,0.00%,8.06亿,19.43亿,3.48,2.35,CNY
SZ002860,星帅尔,14.91,14.91,16.41,32935手,14.45,14.92,13.43,4840.09万,0.63,2.50%,29.14,22.23,-78.93%,3.08%,22.36,3.30,0.66,0.12,1.99亿,29.38亿,4.47,0.84%,1.32亿,19.46亿,17.17,9.86,CNY
SZ300095,华伍股份,7.28,7.23,7.95,41958手,7.08,7.23,6.51,3011.80万,0.47,1.55%,27.72,32.38,-30.20%,2.77%,34.87,2.20,0.22,0.02,3.79亿,27.27亿,3.27,0.28%,2.70亿,19.47亿,8.25,4.69,CNY
SH603656,泰禾光电,13.24,12.91,14.30,9219手,12.90,13.00,11.70,1203.07万,1.67,0.62%,143.98,31.35,-35.22%,2.62%,31.20,2.09,0.42,0.10,1.49亿,19.47亿,6.27,0.77%,1.49亿,19.47亿,17.86,11.70,CNY
SH603677,奇精机械,10.36,10.30,11.32,6397手,10.11,10.29,9.26,650.98万,0.70,0.33%,43.80,28.37,60.07%,2.43%,25.53,1.95,0.36,0.28,1.92亿,19.48亿,5.21,2.78%,1.92亿,19.48亿,13.78,9.44,CNY
SH603021,山东华鹏,6.49,6.39,7.03,11.17万手,6.00,6.39,5.75,6898.61万,1.33,3.49%,311.49,亏损,-42.21%,7.67%,亏损,1.71,-0.27,0.00,3.20亿,19.52亿,3.56,0.00%,3.20亿,19.52亿,10.23,5.14,CNY
SZ000785,居然之家,7.94,7.93,8.76,27466手,7.75,7.96,7.16,2151.98万,0.91,1.09%,48.04,15.95,-23.17%,2.39%,14.98,3.09,0.49,0.08,60.20亿,468.34亿,2.52,1.00%,2.51亿,19.53亿,12.49,7.75,CNY
SZ002172,澳洋健康,2.59,2.48,2.73,12.00万手,2.46,2.48,2.23,3022.58万,1.35,1.55%,亏损,亏损,-2.02%,5.24%,亏损,1.52,-0.64,0.00,7.76亿,19.64亿,1.66,0.00%,7.72亿,19.54亿,4.84,2.43,CNY
SZ002219,*ST恒康,1.12,1.07,1.13,33.36万手,1.06,1.08,1.03,3608.73万,0.90,1.81%,亏损,亏损,15.39%,5.56%,亏损,11.78,-1.38,0.00,18.65亿,19.77亿,0.09,0.00%,18.44亿,19.55亿,3.88,1.06,CNY
SH600889,南京化纤,5.86,5.85,6.40,32195手,5.70,5.82,5.24,1863.33万,1.00,0.95%,亏损,亏损,-36.82%,2.75%,亏损,1.57,-0.46,0.00,3.66亿,21.21亿,3.69,0.00%,3.38亿,19.57亿,6.25,4.02,CNY
SZ300732,设研院,16.58,16.40,18.04,12318手,16.10,16.40,14.76,2008.55万,0.62,1.02%,21.44,11.98,71.23%,2.93%,11.52,1.41,1.35,0.30,1.92亿,31.12亿,11.49,1.85%,1.21亿,19.58亿,24.36,13.63,CNY
