股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SH600074,退市保千,0.20,0.19,0.21,38.44万手,0.18,0.19,0.17,731.27万,0.82,3.75%,亏损,亏损,-19.83%,10.53%,亏损,-0.08,-0.38,0.00,24.38亿,4.63亿,-2.48,0.00%,10.26亿,1.95亿,0.94,0.16,CNY
SZ000820,*ST节能,0.94,0.93,0.97,13.87万手,0.87,0.92,0.87,1218.47万,1.75,4.82%,亏损,亏损,-100.00%,7.61%,亏损,-0.27,-3.23,0.00,6.37亿,5.54亿,-3.17,0.00%,2.88亿,2.50亿,3.06,0.87,CNY
SZ300156,神雾环保,0.43,0.43,0.53,46640手,0.43,0.48,0.43,200.55万,0.14,0.65%,亏损,亏损,-100.00%,0.00%,亏损,1.43,-2.20,0.00,10.10亿,4.34亿,0.30,0.00%,7.22亿,3.10亿,3.27,0.43,CNY
SZ300431,暴风集团,1.73,1.67,1.88,37.33万手,1.54,1.71,1.54,5985.75万,1.93,15.35%,亏损,亏损,-100.00%,11.11%,亏损,-0.80,-4.59,0.00,3.30亿,5.07亿,-1.93,0.00%,2.43亿,3.74亿,8.34,1.45,CNY
SZ002875,安奈儿,12.96,12.96,14.20,15466手,12.68,12.91,11.62,1972.33万,0.79,4.35%,亏损,亏损,53.05%,2.17%,39.81,1.90,-0.04,0.00,1.31亿,16.77亿,6.73,0.00%,3553.32万,4.53亿,21.42,12.07,CNY
SH603709,中源家居,23.33,23.11,25.51,11376手,22.60,23.19,20.87,2605.32万,0.64,5.69%,亏损,88.69,-60.42%,3.15%,53.99,2.97,0.26,0.23,8000.00万,18.20亿,7.65,1.01%,2000.00万,4.55亿,39.50,19.98,CNY
SZ002220,ST天宝,0.70,0.70,0.78,26177手,0.70,0.74,0.70,183.24万,0.25,0.40%,亏损,亏损,-100.00%,0.00%,亏损,1.30,-2.41,0.00,7.66亿,5.37亿,0.54,0.00%,6.61亿,4.63亿,2.33,0.70,CNY
SH603157,拉夏贝尔,3.33,3.07,3.33,21.21万手,3.04,3.03,2.73,6993.65万,1.50,14.55%,亏损,亏损,100.00%,9.57%,亏损,1.97,-4.55,0.00,5.48亿,18.24亿,1.69,0.00%,1.46亿,4.86亿,7.12,2.82,CNY
SH603196,日播时尚,7.83,7.70,8.47,48794手,7.30,7.70,6.93,3694.80万,1.17,7.46%,亏损,亏损,-19.83%,6.88%,205.33,2.00,-0.05,0.20,2.40亿,18.10亿,3.78,2.65%,6540.00万,4.93亿,13.09,6.78,CNY
SH603331,百达精工,16.06,16.06,17.67,10485手,15.56,16.06,14.45,1648.81万,1.18,3.30%,46.26,32.67,29.44%,3.11%,26.90,2.60,0.48,0.24,1.28亿,20.10亿,6.02,1.51%,3181.33万,4.98亿,18.95,14.10,CNY
SH603580,艾艾精工,12.15,11.69,12.97,29062手,11.60,11.79,10.61,3482.17万,2.99,6.88%,110.18,45.78,-86.80%,4.66%,44.33,3.73,0.26,0.08,1.31亿,15.76亿,3.23,0.68%,4222.82万,5.09亿,14.80,9.87,CNY
SZ300727,润禾材料,13.88,13.77,15.21,8782手,13.48,13.83,12.45,1197.22万,0.45,2.26%,58.26,38.52,-4.12%,2.89%,33.66,3.02,0.35,0.16,1.27亿,17.22亿,4.50,1.18%,3893.50万,5.28亿,18.88,11.74,CNY
SZ300795,米奥会展,21.68,21.50,23.65,12010手,20.70,21.50,19.35,2543.46万,0.75,4.80%,亏损,31.37,-31.93%,4.56%,32.07,4.40,0.67,1.00,1.00亿,21.20亿,4.81,4.72%,2504.10万,5.30亿,38.38,16.40,CNY
SZ002356,*ST赫美,1.20,1.13,1.20,16.94万手,1.11,1.14,1.08,1981.02万,1.57,3.53%,亏损,亏损,35.41%,7.89%,亏损,-0.31,-3.59,0.00,5.28亿,5.91亿,-3.60,0.00%,4.80亿,5.38亿,4.51,0.99,CNY
SH603922,金鸿顺,17.34,16.97,18.62,10351手,16.69,16.93,15.24,1765.72万,0.88,3.23%,亏损,亏损,5.06%,3.84%,亏损,2.11,-0.73,0.00,1.28亿,21.59亿,8.00,0.00%,3200.00万,5.40亿,20.30,12.52,CNY
SZ300090,盛运环保,0.49,0.49,0.59,11.21万手,0.49,0.54,0.49,549.18万,0.28,0.98%,亏损,亏损,-100.00%,0.00%,亏损,-0.31,-1.68,0.00,13.20亿,6.47亿,-1.57,0.00%,11.42亿,5.59亿,2.69,0.49,CNY
SZ300818,耐普矿机,33.40,32.65,36.22,12746手,31.35,32.93,29.64,4129.12万,1.32,7.28%,696.61,40.72,-60.36%,6.23%,32.25,2.63,0.79,0.20,7000.00万,22.39亿,12.18,0.63%,1750.00万,5.60亿,49.01,25.37,CNY
SZ300722,新余国科,15.96,15.41,16.95,27274手,15.33,15.41,13.87,4286.58万,0.98,7.49%,8385.01,66.23,58.13%,4.09%,56.58,5.03,0.23,0.19,1.46亿,22.57亿,3.08,1.24%,3640.00万,5.64亿,23.35,12.72,CNY
SZ300781,因赛集团,28.68,28.04,31.44,31545手,26.65,28.58,25.72,8668.29万,0.80,14.93%,65.93,44.30,84.02%,7.10%,42.97,3.59,0.60,0.71,8454.14万,22.61亿,7.46,2.64%,2113.54万,5.65亿,53.04,19.60,CNY
SH600247,ST成城,1.73,1.68,1.73,10.51万手,1.61,1.65,1.57,1750.51万,1.42,3.12%,亏损,亏损,-84.40%,7.27%,亏损,-6.11,-0.28,0.00,3.36亿,5.75亿,-0.28,0.00%,3.36亿,5.75亿,5.13,1.53,CNY
SZ300594,朗进科技,26.50,26.36,29.28,7450手,25.80,26.62,23.96,1944.97万,0.97,3.35%,53.07,31.35,34.38%,2.63%,28.20,2.79,0.83,0.15,8890.67万,23.05亿,9.30,0.58%,2222.67万,5.76亿,48.99,24.75,CNY
SH603607,京华激光,19.07,19.03,20.93,14364手,18.04,19.03,17.13,2675.00万,0.96,4.50%,24.27,22.74,-17.87%,5.41%,22.37,2.74,0.81,0.30,1.28亿,23.50亿,6.73,1.63%,3189.20万,5.88亿,26.85,16.97,CNY
SZ300786,国林科技,28.66,28.15,31.34,6383手,27.50,28.49,25.64,1790.15万,1.21,2.99%,58.61,35.80,-41.26%,4.07%,33.00,3.05,0.77,0.17,8544.00万,23.70亿,9.10,0.61%,2136.00万,5.93亿,52.81,19.40,CNY
SH603860,中公高科,25.18,24.92,27.41,1769手,24.61,24.92,22.43,438.49万,0.78,0.73%,亏损,39.10,44.44%,2.29%,29.91,2.61,0.63,0.17,6668.00万,16.46亿,9.45,0.67%,2418.00万,5.97亿,30.80,22.80,CNY
SH603499,翔港科技,17.50,17.21,18.92,38995手,17.00,17.20,15.48,6697.70万,0.87,11.14%,亏损,亏损,55.50%,2.91%,163.41,4.53,-0.01,0.08,1.42亿,24.20亿,3.77,0.47%,3500.00万,5.97亿,26.05,12.02,CNY
SZ300717,华信新材,14.42,14.33,15.86,11029手,14.02,14.42,12.98,1559.96万,1.16,2.60%,34.75,29.92,21.27%,2.77%,27.93,2.42,0.47,0.20,1.02亿,14.44亿,5.82,1.42%,4249.60万,5.99亿,22.49,12.76,CNY
SZ300796,贝斯美,20.62,19.39,21.37,26297手,19.39,19.43,17.49,5293.07万,2.17,8.68%,693.95,57.12,80.75%,6.33%,37.74,2.43,0.35,0.08,1.21亿,24.02亿,8.17,0.40%,3030.00万,6.01亿,34.21,17.10,CNY
SH603226,菲林格尔,15.90,15.71,17.49,24670手,14.98,15.90,14.31,3785.14万,1.22,6.24%,亏损,27.20,67.44%,5.79%,20.38,2.54,0.56,0.00,1.51亿,22.99亿,5.98,0.00%,3955.58万,6.01亿,38.76,13.54,CNY
SZ300720,海川智能,14.87,14.87,16.15,12263手,14.19,14.68,13.21,1774.27万,1.25,2.94%,53.36,33.90,-73.46%,4.63%,35.19,3.21,0.43,0.20,1.08亿,15.61亿,4.50,1.38%,4164.48万,6.02亿,20.45,12.15,CNY
SZ300798,锦鸡股份,14.88,13.88,15.62,11.12万手,13.70,14.20,12.78,1.61亿,1.75,26.61%,200.58,76.92,1.14%,8.31%,63.40,5.01,0.19,0.05,4.18亿,61.07亿,2.92,0.34%,4178.00万,6.11亿,22.50,6.64,CNY
SH603687,大胜达,12.89,12.80,13.98,22024手,12.28,12.71,11.44,2761.55万,0.61,4.40%,197.25,58.26,44.42%,4.80%,48.03,3.50,0.21,0.03,4.11亿,50.74亿,3.53,0.21%,5000.00万,6.18亿,24.94,8.82,CNY
SZ300819,聚杰微纤,25.58,23.98,26.57,53588手,23.07,24.15,21.74,1.31亿,1.78,21.55%,832.83,46.91,-39.12%,10.39%,41.47,3.14,0.53,0.00,9947.00万,24.74亿,7.93,0.00%,2487.00万,6.19亿,40.00,18.08,CNY
SH603683,晶华新材,12.32,12.16,13.38,16129手,12.01,12.16,10.94,1970.75万,0.62,3.20%,亏损,1070.68,5.51%,2.55%,448.28,1.97,0.01,0.12,1.27亿,15.56亿,6.24,0.96%,5043.80万,6.19亿,19.00,10.21,CNY
SZ002499,*ST科林,3.30,3.28,3.44,9541手,3.25,3.28,3.12,312.33万,0.56,0.50%,亏损,亏损,-17.46%,1.52%,亏损,17.26,-0.67,0.00,1.89亿,6.20亿,0.19,0.00%,1.89亿,6.20亿,5.24,3.24,CNY
SZ300729,乐歌股份,25.88,24.10,26.51,29634手,24.08,24.10,21.69,7460.93万,1.38,11.78%,38.61,32.43,24.00%,7.47%,34.35,2.62,0.76,0.30,8723.08万,21.63亿,9.45,1.21%,2515.59万,6.24亿,33.44,17.80,CNY
SH603059,倍加洁,26.15,26.15,28.83,15384手,24.95,26.21,23.59,3928.25万,0.99,6.15%,44.54,25.21,-42.16%,4.58%,22.82,2.53,0.99,0.20,10000.00万,24.96亿,9.86,0.80%,2500.00万,6.24亿,31.88,22.22,CNY
SH603617,君禾股份,10.49,10.49,11.43,14293手,10.16,10.39,9.35,1474.40万,0.71,2.35%,30.70,29.48,63.30%,3.18%,27.38,3.37,0.35,0.11,2.00亿,20.55亿,3.06,1.11%,6070.85万,6.25亿,15.20,8.55,CNY
SH603076,乐惠国际,23.77,23.33,25.62,11214手,22.91,23.29,20.96,2610.58万,1.32,4.18%,11.39,亏损,-47.37%,3.69%,亏损,2.20,-0.10,0.00,7450.00万,17.36亿,10.61,0.00%,2684.92万,6.26亿,27.14,18.24,CNY
SH600112,ST天成,1.23,1.23,1.23,14.00万手,1.17,1.17,1.11,1706.50万,1.24,2.75%,亏损,亏损,100.00%,5.13%,亏损,1.69,-1.85,0.00,5.09亿,6.26亿,0.73,0.00%,5.09亿,6.26亿,3.75,1.10,CNY
SH603996,*ST中新,2.13,2.12,2.25,32254手,2.05,2.14,2.03,673.28万,0.87,1.07%,亏损,亏损,-26.84%,3.74%,亏损,-1.59,-0.41,0.00,3.00亿,6.30亿,-1.32,0.00%,3.00亿,6.30亿,7.57,2.00,CNY
SH603895,天永智能,19.44,19.05,21.01,16482手,18.90,19.10,17.19,3159.95万,1.22,5.03%,71.87,亏损,30.58%,2.83%,亏损,3.52,-0.41,0.00,1.08亿,20.83亿,5.47,0.00%,3276.71万,6.31亿,26.40,18.18,CNY
SZ300789,唐源电气,56.99,56.00,62.48,4203手,54.90,56.80,51.12,2339.29万,1.04,3.65%,108.39,32.17,30.82%,3.68%,30.42,3.61,1.72,0.36,4598.28万,25.38亿,15.30,0.66%,1150.00万,6.35亿,103.88,42.70,CNY
SH603863,松炀资源,12.85,12.75,14.06,29006手,12.26,12.78,11.50,3616.60万,0.88,5.64%,57.54,30.75,45.55%,4.62%,28.50,2.25,0.40,0.00,2.06亿,25.41亿,5.48,0.00%,5147.40万,6.35亿,31.23,11.79,CNY
SZ300780,德恩精工,17.92,17.92,19.69,16648手,17.23,17.90,16.11,2914.51万,0.83,4.54%,36.36,35.42,-17.17%,3.85%,37.74,2.57,0.49,0.10,1.47亿,25.45亿,6.75,0.58%,3667.00万,6.36亿,37.86,13.90,CNY
SZ300681,英搏尔,33.99,33.00,36.77,3238手,33.00,33.43,30.09,1081.34万,0.44,1.71%,亏损,亏损,10.28%,2.96%,亏损,4.56,-0.89,0.00,7560.00万,25.48亿,7.39,0.00%,1890.00万,6.37亿,37.40,24.00,CNY
SZ000017,*ST中华A,2.21,2.19,2.33,56287手,2.11,2.22,2.11,1197.72万,0.74,1.86%,亏损,亏损,-100.00%,4.50%,亏损,211.00,-0.01,0.00,5.51亿,11.63亿,0.01,0.00%,3.03亿,6.39亿,6.49,2.11,CNY
SH603933,睿能科技,12.91,12.69,13.97,17096手,12.53,12.70,11.43,2176.63万,0.65,3.40%,820.78,143.19,63.08%,2.99%,84.97,2.45,0.09,0.10,2.01亿,25.60亿,5.19,0.79%,5031.32万,6.40亿,22.50,11.83,CNY
SZ300668,杰恩设计,14.44,14.44,15.77,6129手,14.00,14.34,12.91,870.54万,0.87,1.36%,38.55,20.84,-44.19%,3.07%,18.04,3.19,0.68,0.23,1.06亿,15.17亿,4.47,1.61%,4503.41万,6.42亿,21.61,13.39,CNY
SZ300689,澄天伟业,35.30,35.09,38.32,5336手,33.98,34.84,31.36,1840.86万,0.74,2.80%,317.21,53.31,19.23%,3.79%,48.51,3.91,0.64,0.00,6800.00万,23.13亿,8.70,0.00%,1904.00万,6.48亿,53.60,28.56,CNY
SZ300733,西菱动力,9.79,9.79,10.80,19786手,9.44,9.82,8.84,1899.25万,1.03,2.92%,亏损,166.26,-7.37%,3.56%,72.03,1.34,0.06,0.10,1.60亿,15.30亿,7.11,1.05%,6783.75万,6.49亿,16.38,8.58,CNY
SH600634,*ST富控,1.14,1.11,1.17,42828手,1.11,1.11,1.05,480.91万,0.63,0.74%,亏损,亏损,-40.91%,2.70%,亏损,-0.16,-0.81,0.00,5.76亿,6.51亿,-6.98,0.00%,5.76亿,6.51亿,2.39,0.99,CNY
SH603136,天目湖,22.87,22.87,25.01,8714手,22.00,22.74,20.47,1943.88万,1.19,3.00%,亏损,31.70,-60.39%,3.83%,21.09,2.98,0.71,0.00,1.16亿,26.09亿,7.56,0.00%,2900.00万,6.52亿,27.99,18.72,CNY
SZ300756,中山金马,27.99,27.99,30.84,3516手,27.39,28.04,25.24,973.98万,0.78,1.49%,亏损,27.58,-13.04%,2.14%,18.46,1.95,1.01,0.32,7288.70万,20.22亿,14.23,1.15%,2357.99万,6.54亿,44.49,26.12,CNY
SZ300807,天迈科技,39.29,38.63,42.43,6832手,38.12,38.57,34.71,2641.57万,0.64,4.02%,亏损,36.38,-15.22%,3.03%,35.09,3.87,1.06,0.70,6785.10万,26.16亿,9.97,1.82%,1700.00万,6.55亿,69.19,21.22,CNY
SZ300697,电工合金,13.28,13.27,14.60,28579手,12.50,13.27,11.94,3647.65万,1.45,5.50%,43.77,23.56,-3.24%,5.88%,20.37,3.18,0.54,0.06,2.08亿,26.27亿,3.97,0.47%,5200.00万,6.57亿,17.38,11.68,CNY
SZ300564,筑博设计,27.58,27.20,29.90,13369手,26.27,27.18,24.46,3597.06万,0.49,5.35%,亏损,22.59,22.23%,4.82%,18.44,2.56,1.16,0.35,10000.00万,26.30亿,10.28,1.33%,2500.00万,6.58亿,56.00,24.18,CNY
SZ002919,名臣健康,16.17,16.16,17.66,45650手,15.18,16.05,14.45,7115.85万,0.58,10.80%,78.86,92.72,68.62%,6.17%,82.56,3.33,0.17,0.10,1.22亿,19.05亿,4.68,0.64%,4228.10万,6.60亿,21.98,11.96,CNY
SZ002931,锋龙股份,25.85,25.82,28.47,9636手,25.11,25.88,23.29,2447.51万,0.85,3.64%,48.09,37.83,-59.42%,2.86%,38.82,4.08,0.67,0.15,8888.00万,22.36亿,6.16,0.60%,2645.24万,6.66亿,33.97,22.58,CNY
SH603767,中马传动,7.18,7.11,7.82,11326手,6.94,7.11,6.40,798.22万,0.77,1.20%,106.74,34.21,-6.76%,3.38%,28.80,1.49,0.21,0.20,3.06亿,21.55亿,4.74,2.84%,9473.80万,6.67亿,8.54,5.97,CNY
SH603629,利通电子,22.67,22.29,24.52,7686手,22.08,22.29,20.06,1720.82万,0.62,2.56%,120.23,45.66,-4.23%,2.65%,35.26,2.27,0.49,0.20,10000.00万,22.37亿,9.87,0.89%,3000.00万,6.71亿,35.60,21.00,CNY
SH603676,卫信康,10.45,10.35,11.53,43124手,10.05,10.48,9.43,4393.60万,1.12,6.47%,97.44,92.18,44.87%,3.82%,76.58,4.54,0.11,0.04,4.23亿,42.64亿,2.22,0.45%,6666.05万,6.72亿,14.36,9.70,CNY
SH603192,汇得科技,25.35,25.17,27.69,12386手,24.73,25.17,22.65,3101.05万,0.99,4.64%,38.13,21.88,-17.98%,2.46%,20.45,2.20,1.16,0.37,1.07亿,27.03亿,11.50,1.47%,2666.67万,6.76亿,30.17,21.83,CNY
SZ300665,飞鹿股份,9.45,9.45,10.40,6775手,9.27,9.45,8.51,633.78万,0.95,0.93%,亏损,118.57,55.52%,1.90%,53.41,2.55,0.08,0.00,1.22亿,11.32亿,3.65,0.00%,7312.36万,6.81亿,12.16,8.50,CNY
SH603332,苏州龙杰,23.15,22.70,25.18,9271手,22.70,22.89,20.60,2121.14万,1.11,3.12%,2481.35,20.11,0.25%,1.97%,16.24,1.99,1.14,0.60,1.19亿,27.25亿,11.54,2.62%,2973.50万,6.81亿,31.42,21.59,CNY
SZ300736,百邦科技,8.59,8.59,9.39,7395手,8.40,8.54,7.69,628.17万,0.68,0.92%,亏损,亏损,-22.98%,2.22%,亏损,4.37,-0.80,0.00,1.31亿,11.12亿,1.95,0.00%,7997.74万,6.81亿,15.01,8.19,CNY
SH603551,奥普家居,18.00,18.00,19.40,97857手,16.50,17.64,15.88,1.67亿,3.23,24.46%,亏损,41.73,-85.01%,8.50%,25.59,4.06,0.41,0.33,4.00亿,68.48亿,4.22,1.93%,4001.00万,6.85亿,25.53,14.99,CNY
SH603657,春光科技,24.37,24.20,26.65,6839手,23.77,24.23,21.81,1646.26万,0.65,2.39%,37.68,21.52,-36.73%,2.48%,21.57,2.60,1.11,0.50,9600.00万,22.99亿,9.22,2.09%,2862.50万,6.86亿,28.59,20.57,CNY
SH603992,松霖科技,17.28,16.84,18.29,52429手,16.40,16.63,14.97,8833.09万,1.34,12.79%,48.30,30.65,14.56%,5.29%,28.92,3.68,0.55,0.18,4.01亿,67.73亿,4.59,1.04%,4100.00万,6.92亿,28.92,14.01,CNY
SZ002888,惠威科技,20.25,20.10,22.34,32534手,19.26,20.31,18.28,6414.13万,0.96,9.14%,66.81,77.04,-13.79%,4.87%,92.98,5.66,0.25,0.20,1.25亿,24.32亿,3.45,1.02%,3557.64万,6.94亿,28.54,16.19,CNY
SH603757,大元泵业,14.70,14.60,16.17,9204手,14.32,14.70,13.23,1333.15万,0.84,1.88%,21.72,13.77,-31.36%,2.59%,13.79,2.04,1.04,0.50,1.64亿,23.54亿,7.02,3.49%,4900.00万,7.02亿,17.50,13.11,CNY
SH600306,*ST商城,4.08,4.08,4.26,11123手,3.96,4.06,3.86,444.90万,1.69,0.63%,亏损,亏损,12.80%,2.96%,亏损,-6.60,-0.61,0.00,1.78亿,7.05亿,-0.60,0.00%,1.77亿,7.03亿,8.38,3.96,CNY
SZ002535,*ST林重,1.28,1.27,1.35,15.63万手,1.23,1.29,1.23,1957.07万,0.80,2.75%,亏损,亏损,-11.18%,3.88%,亏损,1.32,-2.51,0.00,8.02亿,9.94亿,0.94,0.00%,5.69亿,7.06亿,3.99,1.20,CNY
SZ300700,岱勒新材,16.29,16.26,17.89,16554手,15.80,16.26,14.63,2651.99万,0.53,3.69%,117.89,亏损,-20.54%,3.01%,亏损,2.65,-0.47,0.00,8240.51万,13.04亿,5.97,0.00%,4485.12万,7.10亿,32.40,14.11,CNY
SZ002922,伊戈尔,12.70,12.70,13.71,8401手,12.21,12.46,11.21,1041.73万,0.95,1.47%,亏损,32.25,-89.47%,3.93%,29.35,1.81,0.39,0.20,1.35亿,16.84亿,6.87,1.60%,5712.03万,7.12亿,19.30,11.62,CNY
SZ300405,科隆股份,5.54,5.52,6.08,16947手,5.45,5.53,4.98,928.77万,1.17,1.29%,亏损,亏损,32.23%,1.63%,112.72,1.51,-0.04,0.00,2.22亿,12.15亿,3.61,0.00%,1.31亿,7.15亿,10.92,5.05,CNY
SZ300654,世纪天鸿,11.13,11.00,12.22,23660手,10.86,11.11,10.00,2594.94万,1.19,3.61%,亏损,53.77,-24.74%,2.43%,45.45,3.27,0.20,0.07,1.40亿,15.28亿,3.34,0.69%,6554.15万,7.15亿,23.99,10.40,CNY
SZ300488,恒锋工具,14.79,14.76,16.27,5821手,14.40,14.79,13.31,847.62万,1.16,1.16%,96.91,21.15,29.00%,2.64%,18.58,2.33,0.68,0.13,1.66亿,23.97亿,6.18,0.89%,4997.76万,7.21亿,21.45,14.00,CNY
SZ002969,嘉美包装,7.94,7.90,8.80,10.98万手,7.55,8.00,7.20,8459.05万,0.48,11.52%,亏损,57.35,-32.57%,4.88%,42.00,3.51,0.13,0.02,9.53亿,72.21亿,2.16,0.25%,9526.31万,7.22亿,15.33,4.40,CNY
SZ300752,隆利科技,22.29,22.29,24.42,5486手,21.96,22.20,19.98,1209.88万,0.94,1.66%,67.96,39.88,37.93%,1.49%,30.85,3.17,0.55,0.14,1.20亿,26.32亿,6.94,0.66%,3306.46万,7.27亿,36.47,21.01,CNY
SH603286,日盈电子,15.93,15.50,17.15,17338手,15.35,15.59,14.03,2717.40万,1.42,3.79%,453.28,63.09,-28.70%,3.72%,52.22,3.07,0.25,0.06,8807.60万,14.00亿,5.17,0.38%,4575.10万,7.27亿,19.94,13.76,CNY
SZ300711,广哈通信,13.92,13.89,15.10,14231手,13.36,13.73,12.36,1934.37万,1.14,2.62%,亏损,217.39,-22.84%,4.08%,136.73,4.13,0.06,0.03,1.73亿,23.29亿,3.26,0.21%,5426.64万,7.30亿,20.00,13.01,CNY
SZ002247,*ST聚力,1.41,1.41,1.48,99320手,1.34,1.41,1.34,1343.42万,0.56,1.82%,亏损,亏损,-44.71%,4.96%,亏损,2.75,-1.93,0.00,8.51亿,11.49亿,0.49,0.00%,5.45亿,7.35亿,4.04,1.27,CNY
SZ002147,*ST新光,1.40,1.38,1.47,53691手,1.36,1.40,1.33,739.98万,1.07,1.00%,亏损,亏损,-26.81%,2.86%,亏损,1.01,-2.88,0.00,18.28亿,25.04亿,1.36,0.00%,5.37亿,7.36亿,2.55,1.36,CNY
SZ300817,双飞股份,36.83,32.72,36.83,88449手,32.72,33.48,30.13,3.09亿,2.17,42.00%,56.30,44.45,72.31%,12.28%,43.73,3.50,0.79,0.25,8422.00万,29.50亿,10.00,0.71%,2106.00万,7.38亿,43.00,22.04,CNY
SZ300823,建科机械,32.43,30.80,34.41,49601手,30.55,31.28,28.15,1.57亿,0.70,21.20%,46.84,35.49,80.99%,6.01%,35.06,3.41,0.89,0.11,9355.91万,29.51亿,9.26,0.34%,2340.00万,7.38亿,42.32,19.90,CNY
SZ300554,三超新材,15.27,15.00,16.61,32802手,14.62,15.10,13.59,4868.09万,0.61,6.52%,150.09,129.33,25.51%,4.30%,140.86,2.76,0.11,0.02,9360.00万,13.88亿,5.37,0.14%,5030.99万,7.46亿,26.51,12.45,CNY
SH603655,朗博科技,22.26,21.00,23.21,32001手,20.81,21.10,18.99,6923.35万,0.68,9.41%,234.76,113.47,-63.38%,6.87%,101.73,4.70,0.19,0.07,1.06亿,23.32亿,4.68,0.32%,3400.00万,7.48亿,31.99,14.75,CNY
SZ300778,新城市,32.24,32.11,35.34,4682手,31.18,32.13,28.92,1485.34万,1.17,1.95%,30.07,25.13,30.05%,3.30%,23.29,2.67,1.25,0.50,8000.00万,25.04亿,11.71,1.60%,2400.00万,7.51亿,52.50,30.11,CNY
SZ300539,横河模具,6.82,6.82,7.50,15268手,6.58,6.82,6.14,1018.64万,0.81,1.35%,亏损,471.11,11.18%,3.52%,149.87,3.06,0.01,0.04,2.20亿,14.63亿,2.17,0.54%,1.13亿,7.52亿,10.31,6.05,CNY
SH603813,原尚股份,16.71,16.00,19.51,47830手,15.97,17.74,15.97,7707.33万,1.21,10.11%,738.13,25.54,63.84%,4.17%,20.75,2.13,0.63,0.23,8970.20万,14.33亿,7.51,1.45%,4732.20万,7.56亿,21.66,14.95,CNY
SH600241,*ST时万,3.10,3.06,3.22,18029手,3.04,3.07,2.92,552.02万,1.20,0.72%,亏损,亏损,49.09%,1.95%,亏损,0.92,-0.95,0.00,2.94亿,8.95亿,3.31,0.00%,2.52亿,7.65亿,6.39,2.96,CNY
SZ300713,英可瑞,12.58,12.51,13.76,20802手,11.87,12.51,11.26,2522.46万,1.25,3.24%,亏损,亏损,15.93%,5.68%,亏损,2.46,-0.17,0.00,1.43亿,17.11亿,4.84,0.00%,6422.38万,7.66亿,18.36,11.11,CNY
SZ002896,中大力德,22.42,20.62,22.42,26655手,20.05,20.38,18.34,5761.43万,3.64,7.78%,42.73,36.84,100.00%,11.63%,34.16,2.80,0.61,0.10,8000.00万,17.94亿,8.02,0.45%,3425.00万,7.68亿,29.04,18.55,CNY
SH603386,广东骏亚,13.86,13.62,15.07,11900手,13.48,13.70,12.33,1621.30万,0.68,2.10%,亏损,411.94,13.82%,2.77%,88.95,3.07,0.03,0.05,2.26亿,30.80亿,4.43,0.37%,5667.50万,7.71亿,20.77,13.05,CNY
SZ002917,金奥博,14.79,14.78,16.16,20422手,14.09,14.69,13.22,2935.64万,1.14,3.77%,82.97,41.84,84.78%,4.77%,42.10,5.38,0.34,0.10,1.81亿,25.80亿,2.65,0.70%,5417.60万,7.73亿,27.00,12.02,CNY
SH601086,国芳集团,4.79,4.74,5.24,38722手,4.64,4.76,4.28,1825.49万,0.81,2.33%,61.43,36.84,35.49%,3.15%,27.01,1.73,0.13,0.20,6.66亿,31.04亿,2.69,4.29%,1.66亿,7.74亿,6.11,4.43,CNY
SZ000890,*ST胜尔,2.04,1.96,2.04,19709手,1.96,1.94,1.84,399.72万,0.25,0.52%,亏损,亏损,100.00%,4.12%,亏损,-4.25,-2.16,0.00,3.80亿,7.74亿,-0.48,0.00%,3.80亿,7.74亿,7.79,1.92,CNY
SH603500,祥和实业,15.88,15.51,16.96,22288手,15.27,15.42,13.88,3449.30万,0.75,4.42%,193.22,38.62,21.12%,3.96%,30.57,3.01,0.40,0.30,1.76亿,27.11亿,5.10,1.95%,5040.00万,7.75亿,17.20,10.15,CNY
SH600290,*ST华仪,1.05,1.03,1.09,24.79万手,1.00,1.04,0.99,2534.60万,1.22,3.26%,亏损,亏损,-9.70%,4.81%,亏损,0.73,-3.93,0.00,7.60亿,7.75亿,1.39,0.00%,7.60亿,7.75亿,6.04,1.00,CNY
SZ002910,庄园牧场,10.79,10.08,11.12,87734手,9.92,10.11,9.10,9156.38万,1.32,11.84%,亏损,88.72,-33.05%,8.61%,38.86,1.64,0.12,0.06,1.91亿,19.95亿,6.37,0.53%,7411.79万,7.75亿,14.72,8.91,CNY
SH603867,新化股份,23.64,23.45,25.58,41407手,22.09,23.25,20.93,9414.48万,1.08,11.83%,38.07,30.08,32.47%,6.67%,25.16,2.28,0.74,0.50,1.40亿,31.07亿,9.73,2.25%,3500.00万,7.77亿,41.51,18.75,CNY
SH603829,洛凯股份,10.80,10.53,11.72,31176手,10.50,10.65,9.59,3320.02万,0.32,4.31%,209.09,41.07,16.84%,2.82%,35.56,2.50,0.26,0.10,1.60亿,17.17亿,4.29,0.93%,7240.00万,7.77亿,12.41,8.40,CNY
